,Names,Team,Runs,AVG,SR,Century,Fifty,Fours,Six
124,Harshal Patel,PBKS,13,4.33,68.42,0,0,1,1
125,Mohammed Siraj,RCB,12,6.00,150.00,0,0,0,2
126,Darshan Nalkande,GT,12,12.00,109.09,0,0,0,1
127,Jasprit Bumrah,MI,12,-,100.00,0,0,1,0
128,Umesh Yadav,GT,12,12.00,80.00,0,0,0,1
129,Avesh Khan,RR,10,-,200.00,0,0,1,0
130,Lalit Yadav,DC,10,5.00,83.33,0,0,1,0
131,Luke Wood,MI,9,-,300.00,0,0,0,1
132,Arshin Atul Kulkarni,LSG,9,4.50,112.50,0,0,2,0
133,Mitchell Starc,KKR,9,4.50,81.81,0,0,1,0
134,Abhinav Manohar,GT,9,4.50,56.25,0,0,1,0
135,Donovan Ferreira,RR,8,4.00,72.72,0,0,0,0
136,Vijayakanth Viyaskanth,SRH,7,-,140.00,0,0,0,0
137,Spencer Johnson,GT,6,-,85.71,0,0,1,0
138,Anmolpreet Singh,SRH,5,2.50,83.33,0,0,1,0
139,Noor Ahmad,GT,5,2.50,55.55,0,0,1,0
140,Arshdeep Singh,PBKS,4,4.00,133.33,0,0,1,0
141,Akash Madhwal,MI,4,-,80.00,0,0,0,0
142,Matthew Wade,GT,4,4.00,66.66,0,0,0,0
143,Ravi Bishnoi,LSG,4,1.33,66.66,0,0,0,0
144,Anrich Nortje,DC,4,2.00,50.00,0,0,0,0
145,Mohit Sharma,GT,4,2.00,26.66,0,0,0,0
146,Anukul Roy,KKR,3,-,100.00,0,0,0,0
147,Reece Topley,RCB,3,-,50.00,0,0,0,0
148,Kumar Kushagra,DC,3,1.00,42.85,0,0,0,0
149,Mukesh Kumar,DC,3,3.00,33.33,0,0,0,0
150,Ricky Bhui,DC,3,1.50,33.33,0,0,0,0
151,Mohsin Khan,LSG,2,2.00,200.00,0,0,0,0
152,Richard Gleeson,CSK,2,-,100.00,0,0,0,0
153,Jhye Richardson,DC,2,2.00,100.00,0,0,0,0
154,Anshul Kamboj,MI,2,-,100.00,0,0,0,0
155,Akash Deep,RCB,2,-,100.00,0,0,0,0
156,Shivam Singh,PBKS,2,-,66.66,0,0,0,0
157,Naveen-Ul-Haq,LSG,2,-,50.00,0,0,0,0
158,B R Sharath,GT,2,2.00,40.00,0,0,0,0
159,Vaibhav Arora,KKR,1,-,100.00,0,0,0,0
160,Shams Mulani,MI,1,-,100.00,0,0,0,0
161,Lockie Ferguson,RCB,1,1.00,100.00,0,0,0,0
162,Lizaad Williams,DC,1,-,50.00,0,0,0,0
163,Keshav Maharaj,RR,1,1.00,50.00,0,0,0,0
164,Manav Suthar,GT,1,1.00,50.00,0,0,0,0
165,Vyshak Vijaykumar,RCB,1,1.00,33.33,0,0,0,0
166,Ishant Sharma,DC,1,-,14.28,0,0,0,0
